Id,Prediction
0,4105538.16
1,3212370.95
2,3702860.9
3,3754922.225
4,4669475.24
5,4229185.12
6,4011021.515
7,4562158.232916667
8,4605412.635
9,5920125.4135714285
10,4824068.08875
11,3586298.845
12,10247732.95
13,8658074.436666667
14,3971110.115
15,3535468.45
16,6044478.9375
17,4324894.39
18,4488361.648333333
19,4337899.785
20,4952769.699166667
21,5042241.6975
22,4896839.42
23,5076047.685
24,4263684.465
25,3814969.8825
26,3250454.86
27,4901112.41625
28,5299690.33
29,5794531.778333332
30,5990202.12875
31,3598720.545
32,3998021.305
33,4750301.305
34,3810688.505
35,3770273.9875
36,4649300.21
37,5178424.125
38,2906979.955
39,4329223.46125
40,4691411.945
41,4408211.225
42,4750076.89125
43,4299439.96
44,6668157.057833333
45,3877125.67
46,3922099.745
47,2791253.17
48,4878255.47
49,4441477.43
50,5064331.2825
51,4633706.945
52,4094134.635
53,3983543.18
54,3054816.665
55,4675457.021166666
56,4995592.985
57,5184618.95125
58,4299149.46
59,4353384.375
60,3673070.695
61,4596065.56
62,4071474.01
63,4182306.11
64,4446916.53
65,3624141.340833334
66,4338467.61
67,6023395.26
68,4265476.94
69,4365835.965
70,4200057.4
71,3429484.8
72,4185948.605
73,3022378.21
74,7262096.1488214275
75,4987037.41
76,5076400.45
77,5911469.885
78,4633099.99
79,3825184.275
80,5771749.77
81,3959369.66
82,5030300.65
83,4889378.58
84,5738254.9775
85,2238480.375
86,4292149.076666666
87,4958777.894583333
88,5662450.459583333
89,4210686.352
90,5910509.492916666
91,4594263.605
92,2519198.415
93,5154240.05
94,5269729.435
95,4555106.145
96,4813162.16
97,5124316.005
98,4448072.87
99,4426179.67
100,4098383.41
101,2549867.515
102,5410913.14
103,4867140.4425
104,4568299.84
105,3041574.82
106,6287567.630583333
107,4937276.57
108,7288743.123071427
109,5105546.26375
110,4961808.99
111,5501728.945
112,4096918.205
113,4129106.9
114,4474780.455
115,3909418.185
116,4141526.16
117,4849771.82
118,3316620.96
119,5487737.03875
120,5018762.965
121,4863750.575
122,3395913.515
123,5641592.66
124,3915012.495
125,4170119.205
126,6031039.865
127,3309264.51
128,6355676.3625
129,4811534.765
130,2585110.745
131,4824395.445
132,6964995.253071428
133,3372694.115
134,4189042.075
135,3305429.245
136,4719243.995
137,3895888.2
138,6448261.255
139,4876550.8
140,4667835.39
141,4400185.42
142,5612812.922916668
143,4942948.31
144,4434771.91
145,3649356.115
146,4516920.265
147,3194310.535
148,4220206.47
149,4682281.08
150,4275242.16
151,4748981.13125
152,5970448.972083333
153,6569289.925
154,2606160.235
155,4928040.835
156,4865575.0
157,4070702.91
158,4826516.655
159,4076481.565
160,3627533.08
161,5629034.913333332
162,5190398.735
163,8753803.005
164,6559781.555
165,4992535.858333333
166,4402806.705
167,4165977.415
168,3218679.82625
169,4290280.705
170,3878656.77
171,4008073.73
172,4525506.485
173,5005182.36
174,4284058.6575
175,4591934.535
176,6491952.320154761
177,4277537.27
178,4488779.295
179,4677235.085
180,5149880.437916667
181,3874671.54
182,4704811.757
183,4685950.78
184,4414082.71
185,3233516.145
186,5017398.4366666665
187,5506397.445
188,6364716.208321428
189,4596288.415
190,6228989.390916666
191,4472836.355
192,6152695.695
193,7860148.23
194,3161724.135
195,8487597.158666667
196,4798432.06
197,2686212.21
198,4595105.615
199,3887435.355
200,4367450.525
201,5024362.34125
202,4638228.65
203,4640752.3075
204,5520649.07
205,6353088.53
206,5324137.86
207,4639497.425
208,4931912.37
209,3438922.28
210,5724481.090833332
211,4905066.91
212,5423534.0425
213,4131026.055
214,6151863.21375
215,2607775.27
216,4907089.6
217,4842313.36
218,3933585.845
219,4116836.425
220,4293751.657
221,4561191.645
222,6586795.78125
223,4039066.525
224,4558136.09
225,6291720.193571428
226,5733410.63875
227,7019621.15125
228,3247053.725
229,5095794.498333333
230,4698987.39
231,7484303.065
232,7093260.09
233,3887245.0
234,3817586.205
235,4900067.52
236,4036789.755
237,2989951.45
238,6286564.8516666675
239,4740294.43125
240,4547320.835
241,4239699.285
242,4252260.555
243,4839293.815
244,4863995.849583333
245,6511875.199499999
246,3940273.885
247,4731422.79
248,4953153.88
249,5424827.52375
250,5344560.1175
251,6715915.033166666
252,5708862.87625
